Australian Bureau of Statistics,,
,,
2016 Census - Internal Migration,,
STATE (5YR) and STATE (UR),,
Counting: Persons Place of Usual Residence,,
,,
Filters:,,
Default Summation,Persons Place of Usual Residence,
,,
,,
STATE (5YR),STATE (UR),
New South Wales,New South Wales,5829070
,Victoria,61486
,Queensland,105714
,South Australia,12726
,Western Australia,19915
,Tasmania,6580
,Northern Territory,6387
,Australian Capital Territory,27554
Victoria,New South Wales,47912
,Victoria,4575241
,Queensland,47053
,South Australia,13300
,Western Australia,18732
,Tasmania,6928
,Northern Territory,5923
,Australian Capital Territory,6705
Queensland,New South Wales,77164
,Victoria,46579
,Queensland,3574867
,South Australia,10614
,Western Australia,21063
,Tasmania,7914
,Northern Territory,9707
,Australian Capital Territory,7108
South Australia,New South Wales,12885
,Victoria,19807
,Queensland,15508
,South Australia,1341603
,Western Australia,7595
,Tasmania,1817
,Northern Territory,3901
,Australian Capital Territory,2239
Western Australia,New South Wales,17876
,Victoria,22365
,Queensland,20630
,South Australia,5747
,Western Australia,1858731
,Tasmania,4225
,Northern Territory,4735
,Australian Capital Territory,2139
Tasmania,New South Wales,5369
,Victoria,9814
,Queensland,8952
,South Australia,1669
,Western Australia,3663
,Tasmania,401358
,Northern Territory,737
,Australian Capital Territory,801
Northern Territory,New South Wales,6625
,Victoria,6638
,Queensland,14000
,South Australia,5603
,Western Australia,5229
,Tasmania,947
,Northern Territory,134816
,Australian Capital Territory,1274
Australian Capital Territory,New South Wales,23617
,Victoria,8039
,Queensland,8303
,South Australia,1533
,Western Australia,1825
,Tasmania,612
,Northern Territory,677
,Australian Capital Territory,268639
Total,New South Wales,6020513
,Victoria,4749967
,Queensland,3795030
,South Australia,1392795
,Western Australia,1936753
,Tasmania,430390
,Northern Territory,166880
,Australian Capital Territory,316455
,,
"Data source: Census of Population and Housing, 2016, TableBuilder",,
,,
INFO,Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells.,
,,
,,
"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright",,
"ABS data licensed under Creative Commons, see abs.gov.au/ccby",,
